id,price,number_of_reviews,last_review,neighbourhood,name,availability_365,host_id,room_type,latitude,longitude,coords,pais
48871867,1207,0,,Toledo Mainland,Cottage in Punta Gorda · 6 bedrooms · 9 beds · 7 baths,191,355944929,Entire home/apt,16.09421,-88.8316,"16.09421,-88.8316",Belize
48915074,287,2,2023-01-17,Cayo,Bungalow in Cristo Rey · 2 bedrooms · 4 beds · 2 baths,282,35805826,Entire home/apt,17.13123,-89.05953,"17.13123,-89.05953",Belize
48918241,341,13,2023-09-04,Stann Creek Mainland,Home in Placencia · ★4.62 · 3 bedrooms · 4 beds · 2 baths,321,46877365,Entire home/apt,16.65890121459961,-88.3119125366211,"16.65890121459961,-88.3119125366211",Belize
48957776,599,0,,Cayo,Boutique hotel in San Ignacio · 1 bedroom · 1 bed · 1 private bath,365,393686642,Private room,16.95631,-88.9789,"16.95631,-88.9789",Belize
48979121,195,3,2021-07-11,Belize Islands,Guesthouse in San Pedro · ★5.0 · Studio · 1 bed · 1 bath,0,394697923,Entire home/apt,18.04343,-87.89508,"18.04343,-87.89508",Belize
48981053,100,0,,Cayo,Tiny home in San Ignacio · 1 bed · 1 bath,0,228025343,Entire home/apt,17.13446,-89.08233,"17.13446,-89.08233",Belize
49016789,252,0,,Belize Mainland,Home in Belize City · 3 bedrooms · 3 beds · 1 bath,365,395254644,Entire home/apt,17.47359,-88.3005,"17.47359,-88.3005",Belize
49036750,453,17,2023-08-22,Belize Islands,Rental unit in Caye Caulker · ★5.0 · 2 bedrooms · 2 beds · 2 baths,164,232894525,Entire home/apt,17.75455,-88.02531,"17.75455,-88.02531",Belize
49036753,453,3,2023-07-16,Belize Islands,Rental unit in Caye Caulker · ★5.0 · 2 bedrooms · 2 beds · 2 baths,180,232894525,Entire home/apt,17.75386,-88.02525,"17.75386,-88.02525",Belize
49058005,333,10,2023-07-18,Belize Islands,Rental unit in Caye Caulker · ★4.90 · 1 bedroom · 1 bed · 1 bath,157,232894525,Entire home/apt,17.75445,-88.02552,"17.75445,-88.02552",Belize
49059531,1612,2,2023-05-13,Belize Islands,Villa in San Pedro · 8 bedrooms · 11 beds · 7.5 baths,13,33357511,Entire home/apt,17.88019,-87.99883,"17.88019,-87.99883",Belize
49112113,222,0,,Corozal,Hotel in Corozal · 2 bedrooms · 3 beds · 1 private bath,265,346457365,Private room,18.38474,-88.39352,"18.38474,-88.39352",Belize
49171537,101,3,2023-08-19,Cayo,Home in Santa Elena · ★4.33 · 1 bedroom · 1 bed · 1 bath,365,110512261,Entire home/apt,17.15864,-89.06404,"17.15864,-89.06404",Belize
49242625,635,6,2023-04-29,Belize Islands,Condo in San Pedro · ★4.83 · 3 bedrooms · 3 beds · 3.5 baths,223,45929380,Entire home/apt,17.88126,-87.99149,"17.88126,-87.99149",Belize
49243129,312,26,2023-07-10,Belize Islands,Villa in San Pedro · ★4.81 · 1 bedroom · 2 beds · 1 bath,243,151270790,Entire home/apt,17.92279,-87.95963,"17.92279,-87.95963",Belize
49272549,564,11,2023-09-06,Belize Islands,Condo in San Pedro · ★5.0 · 3 bedrooms · 8 beds · 2.5 baths,164,1120393,Entire home/apt,17.890132904052734,-87.98106384277344,"17.890132904052734,-87.98106384277344",Belize
49292572,312,8,2023-07-19,Belize Islands,Villa in San Pedro · ★5.0 · 1 bedroom · 2 beds · 1 bath,270,151270790,Entire home/apt,17.92413,-87.95957,"17.92413,-87.95957",Belize
49302525,401,28,2023-08-18,Belize Islands,Condo in San Pedro · ★5.0 · 1 bedroom · 2 beds · 1 bath,234,12621502,Entire home/apt,17.94623,-87.94508,"17.94623,-87.94508",Belize
49334513,557,29,2023-08-07,Belize Islands,Condo in San Pedro · ★4.97 · 2 bedrooms · 3 beds · 2 baths,240,12621502,Entire home/apt,17.94593,-87.94535,"17.94593,-87.94535",Belize
49341857,635,6,2023-02-25,Belize Islands,Condo in San Pedro · ★5.0 · 3 bedrooms · 3 beds · 3 baths,279,45929380,Entire home/apt,17.92037,-87.96041,"17.92037,-87.96041",Belize
