id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
913292361546294301,Condo in San Pedro · 3 bedrooms · 3 beds · 3 baths,519894686,Mark,Belize,Belize Islands,17.94718,-87.94561,Entire home/apt,973,1,1,2023-08-27,1,1,261,1,
913928272612147521,Rental unit in San Ignacio · 1 bedroom · 2 beds · 1 bath,507947573,Laura,Cayo,Cayo,17.15031,-89.08264,Entire home/apt,202,1,2,2023-08-17,0.62,7,351,2,
914396373830471306,Rental unit in San Ignacio · ★5.0 · 1 bedroom · 1 bed · 1 bath,507947573,Laura,Cayo,Cayo,17.15099,-89.08122,Entire home/apt,202,1,10,2023-09-18,3.13,7,328,10,
914584537766523512,casa particular in Belize · 1 bedroom · 1 bed · 1 bath,519252000,Corrina,Belize,Belize Islands,17.73789,-88.03288,Entire home/apt,126,1,0,,,2,365,0,
915166220628071721,Villa in Placencia · 4 bedrooms · 4 beds · 3 baths,72483617,Gecko Vacation,Stann Creek,Stann Creek Mainland,16.60899,-88.35523,Entire home/apt,1516,4,0,,,21,91,0,
915258959585390138,Home in San Pedro  · 2 bedrooms · 3 beds · 2.5 baths,203551366,MB Luxury Vacation Rentals,Belize,Belize Islands,17.89774,-87.98296,Entire home/apt,484,1,0,,,8,279,0,
915275711518687838,Villa in Placencia · 2 bedrooms · 4 beds · 2.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,441,2,0,,,62,206,0,
915275726618352523,Villa in Placencia · 2 bedrooms · 4 beds · 2.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,441,2,2,2023-09-17,1.30,62,247,2,
915275742394861704,Villa in Placencia · 2 bedrooms · 3 beds · 2 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,358,2,0,,,62,290,0,
915275756752705843,Villa in Placencia · 2 bedrooms · 3 beds · 2 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,393,2,2,2023-07-26,0.82,62,267,2,
915275771353043082,Villa in Placencia · 1 bedroom · 1 bed · 1.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,402,2,0,,,62,295,0,
915275786956862378,Villa in Placencia · 2 bedrooms · 4 beds · 2.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,441,2,1,2023-07-23,0.48,62,209,1,
915275801418705181,Villa in Placencia · 2 bedrooms · 4 beds · 2.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,475,2,0,,,62,264,0,
915275817261954844,Villa in Placencia · 2 bedrooms · 4 beds · 2.5 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.53359423,-88.36023939,Entire home/apt,475,2,0,,,62,291,0,
915275833045110404,Rental unit in Placencia · 1 bedroom · 2 beds · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.51536264,-88.36585659,Entire home/apt,184,2,0,,,62,306,0,
915275846834794451,Rental unit in Placencia · 1 bedroom · 2 beds · 1 bath,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.51536264,-88.36585659,Entire home/apt,230,2,0,,,62,308,0,
915275862453339739,Rental unit in Placencia · 3 bedrooms · 5 beds · 2 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.51536264,-88.36585659,Entire home/apt,405,2,0,,,62,292,0,
915845094303838534,Home in Caye Caulker · 3 bedrooms · 4 beds · 2 baths,28722395,Sarah,Belize,Belize Islands,17.73508565968838,-88.03217601961484,Entire home/apt,752,3,0,,,2,357,0,
915950216277807699,Home in San Ignacio · ★5.0 · 2 bedrooms · 3 beds · 2.5 baths,507947573,Laura,Cayo,Cayo,17.15068,-89.08186,Entire home/apt,271,1,6,2023-09-10,2.95,7,310,6,
917454256518053549,Home in San Pedro · 8 bedrooms · 9 beds · 4 baths,144130330,BelizeIt,Belize,Belize Islands,17.9263069,-87.9583885,Entire home/apt,1850,3,1,2023-08-26,1,26,248,1,
917564552781684528,Home in San Pedro · 3 bedrooms · 3 beds · 1 bath,513324917,Monica,Belize,Belize Islands,17.890786242277205,-87.98105512022182,Entire home/apt,450,3,0,,,1,222,0,
917609613108768052,Rental unit in San Pedro · 2 bedrooms · 2 beds · 1 bath,144130330,BelizeIt,Belize,Belize Islands,17.9263069,-87.9583885,Entire home/apt,368,5,0,,,26,325,0,
917620401362939241,Hotel in Belize City · 1 bedroom · 1 bed · 1 private bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,131,1,1,2023-06-25,0.33,12,311,1,
918057845392516043,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,131,1,1,2023-06-25,0.33,12,310,1,
918076206037049288,Hotel in Belize City · 1 bedroom · 1 bed · 1 bath,520944710,Majestic,Belize,Belize Mainland,17.49675,-88.184873,Private room,131,1,1,2023-07-20,0.45,12,313,1,
